Prediction Date,Actual Outcome,Predicted Outcome,Win Probability,Confidence Score,Prediction Correct
2025-11-28,Abandoned,Abandoned,0.1068,High,True
2026-01-05,Abandoned,Abandoned,0.0586,High,True
2025-11-28,Abandoned,Abandoned,0.2981,Medium,True
2026-01-05,Abandoned,Abandoned,0.2634,Medium,True
2026-01-30,Abandoned,Abandoned,0.2597,Medium,True
2026-02-27,Abandoned,Abandoned,0.1308,High,True
2025-11-28,Abandoned,Abandoned,0.3649,Medium,True
2026-01-05,Abandoned,Abandoned,0.3759,Medium,True
2026-01-30,Abandoned,Abandoned,0.3362,Medium,True
2026-02-27,Abandoned,Abandoned,0.3362,Medium,True
2025-11-28,Abandoned,Abandoned,0.4145,Medium,True
2026-01-05,Abandoned,Abandoned,0.3345,Medium,True
2026-01-30,Abandoned,Abandoned,0.4145,Medium,True
2025-11-28,Abandoned,Abandoned,0.2206,Medium,True
2026-01-05,Abandoned,Abandoned,0.1578,High,True
2026-01-30,Abandoned,Abandoned,0.2206,Medium,True
2026-02-27,Abandoned,Abandoned,0.2206,Medium,True
2025-11-28,Abandoned,Abandoned,0.3125,Low,True
2026-01-05,Abandoned,Abandoned,0.2831,Low,True
2026-01-30,Abandoned,Abandoned,0.3203,Low,True
2026-02-27,Abandoned,Abandoned,0.3203,Low,True
2026-04-10,Abandoned,Won,0.5886,Medium,False
2025-11-28,Abandoned,Won,0.5795,Medium,False
2026-01-05,Abandoned,Won,0.5849,Medium,False
2025-11-28,Abandoned,Abandoned,0.365,Medium,True
2026-01-05,Abandoned,Abandoned,0.1957,Medium,True
2026-01-30,Abandoned,Abandoned,0.2831,Medium,True
2026-02-27,Abandoned,Abandoned,0.2831,Medium,True
2025-11-28,Abandoned,Abandoned,0.249,Medium,True
2026-01-05,Abandoned,Abandoned,0.1709,Medium,True
2026-01-30,Abandoned,Abandoned,0.2285,Medium,True
2026-02-27,Abandoned,Lost,0.3046,Low,False
2025-11-28,Abandoned,Won,0.7188,High,False
2026-01-05,Abandoned,Won,0.5202,Medium,False
2026-01-30,Abandoned,Won,0.5406,Medium,False
2026-02-27,Abandoned,Won,0.5919,Medium,False
2025-11-28,Abandoned,Won,0.6534,Medium,False
2026-01-05,Abandoned,Abandoned,0.4268,Medium,True
2025-11-28,Lost,Abandoned,0.22,Medium,False
2026-01-05,Lost,Abandoned,0.2363,Medium,False
2025-11-28,Abandoned,Won,0.5428,Medium,False
2026-01-05,Abandoned,Abandoned,0.4086,Medium,True
2026-01-30,Abandoned,Abandoned,0.3793,Medium,True
2026-02-27,Abandoned,Abandoned,0.3914,Medium,True
2025-11-28,Abandoned,Abandoned,0.2033,High,True
2026-01-05,Abandoned,Abandoned,0.172,High,True
2026-01-30,Abandoned,Abandoned,0.2856,Low,True
2026-02-27,Abandoned,Abandoned,0.231,Medium,True
2025-11-28,Abandoned,Won,0.7478,High,False
2026-01-05,Abandoned,Won,0.6895,Medium,False
2026-01-30,Abandoned,Won,0.7037,High,False
2026-02-27,Abandoned,Won,0.7037,High,False
2026-04-10,Abandoned,Won,0.7037,High,False
2025-11-28,Won,Lost,0.2938,Medium,False
2026-01-05,Won,Lost,0.2912,Low,False
2025-11-28,Abandoned,Won,0.5333,Medium,False
2026-01-05,Abandoned,Abandoned,0.4234,Medium,True
2026-01-30,Abandoned,Won,0.5012,Medium,False
2025-11-28,Abandoned,Abandoned,0.3278,Medium,True
2026-01-05,Abandoned,Abandoned,0.2831,Medium,True
2026-01-30,Abandoned,Abandoned,0.3278,Medium,True
2026-02-27,Abandoned,Abandoned,0.3278,Medium,True
2025-11-28,Abandoned,Abandoned,0.2144,High,True
2026-01-05,Abandoned,Abandoned,0.2139,High,True
2026-01-30,Abandoned,Abandoned,0.2144,High,True
2026-02-27,Abandoned,Abandoned,0.2144,High,True
2026-01-30,Abandoned,Won,0.6283,Medium,False
2026-02-27,Abandoned,Won,0.5864,Medium,False
2025-11-28,Won,Lost,0.2938,Medium,False
2026-01-05,Won,Lost,0.2912,Low,False
2025-11-28,Abandoned,Won,0.6622,Medium,False
2025-11-28,Abandoned,Won,0.6517,Medium,False
2026-01-05,Abandoned,Won,0.5717,Medium,False
2026-01-30,Abandoned,Won,0.5106,Medium,False
2025-11-28,Abandoned,Abandoned,0.3781,Medium,True
2026-01-05,Abandoned,Abandoned,0.2642,Medium,True
2026-01-30,Abandoned,Abandoned,0.2855,Medium,True
2026-02-27,Abandoned,Abandoned,0.3065,Medium,True
2026-04-10,Abandoned,Abandoned,0.3973,Medium,True
2025-11-28,Abandoned,Won,0.5502,Medium,False
2026-01-05,Abandoned,Won,0.5081,Medium,False
2026-01-30,Abandoned,Won,0.4865,Medium,False
2026-02-27,Abandoned,Won,0.5494,Medium,False
2026-04-10,Abandoned,Won,0.5613,Medium,False
2025-11-28,Abandoned,Won,0.4768,Medium,False
2026-01-05,Abandoned,Won,0.4792,Medium,False
2026-01-30,Abandoned,Won,0.468,Medium,False
2026-02-27,Abandoned,Won,0.468,Medium,False
2026-04-10,Abandoned,Won,0.5628,Medium,False
2025-11-28,Abandoned,Abandoned,0.3083,Medium,True
2026-01-05,Abandoned,Abandoned,0.281,Medium,True
2026-01-30,Abandoned,Abandoned,0.3567,Medium,True
2026-02-27,Abandoned,Abandoned,0.3567,Medium,True
2025-11-28,Won,Abandoned,0.123,High,False
2026-01-05,Won,Abandoned,0.0978,High,False
2026-01-30,Won,Lost,0.2094,Medium,False
2025-11-28,Abandoned,Abandoned,0.1903,High,True
2026-01-05,Abandoned,Abandoned,0.1534,High,True
2026-01-30,Abandoned,Abandoned,0.1903,High,True
2026-02-27,Abandoned,Abandoned,0.1903,High,True
2025-11-28,Abandoned,Abandoned,0.3167,Medium,True
2026-01-05,Abandoned,Abandoned,0.245,Medium,True
2026-01-30,Abandoned,Abandoned,0.2968,Medium,True
2026-02-27,Abandoned,Abandoned,0.2425,Medium,True
2025-11-28,Abandoned,Abandoned,0.0882,High,True
2025-11-28,Abandoned,Abandoned,0.2221,High,True
2026-01-05,Abandoned,Abandoned,0.176,High,True
2026-01-30,Abandoned,Abandoned,0.2221,High,True
2026-02-27,Abandoned,Abandoned,0.2221,High,True
2026-04-10,Abandoned,Abandoned,0.2221,High,True
2025-11-28,Won,Won,0.6088,Medium,True
2025-11-28,Abandoned,Abandoned,0.2729,High,True
2026-01-05,Abandoned,Abandoned,0.2376,High,True
2025-11-28,Abandoned,Won,0.553,Medium,False
2026-01-05,Abandoned,Won,0.4603,Medium,False
2025-11-28,Abandoned,Abandoned,0.3919,Medium,True
2026-01-05,Abandoned,Abandoned,0.318,Medium,True
2025-11-28,Abandoned,Abandoned,0.3636,Medium,True
2026-01-05,Abandoned,Abandoned,0.232,Medium,True
2025-11-28,Abandoned,Abandoned,0.0691,High,True
2026-01-05,Abandoned,Abandoned,0.0395,High,True
2026-01-30,Abandoned,Abandoned,0.0691,High,True
2026-02-27,Abandoned,Abandoned,0.0691,High,True
2026-04-10,Abandoned,Abandoned,0.0691,High,True
2025-11-28,Abandoned,Won,0.6944,Medium,False
2025-11-28,Abandoned,Lost,0.2969,Low,False
2026-01-05,Abandoned,Abandoned,0.2957,Low,True
2026-01-30,Abandoned,Lost,0.2969,Low,False
2026-02-27,Abandoned,Lost,0.2969,Low,False
2025-11-28,Abandoned,Won,0.6885,Medium,False
2026-01-05,Abandoned,Won,0.6805,Medium,False
2026-01-30,Abandoned,Won,0.6667,Medium,False
2025-11-28,Abandoned,Abandoned,0.3017,Medium,True
2026-01-05,Abandoned,Abandoned,0.231,Medium,True
2026-01-30,Abandoned,Abandoned,0.3295,Medium,True
2025-11-28,Abandoned,Won,0.5979,Medium,False
2026-01-05,Abandoned,Won,0.5138,Medium,False
2026-01-30,Abandoned,Won,0.586,Medium,False
2026-02-27,Abandoned,Won,0.5669,Medium,False
2026-04-10,Abandoned,Won,0.5068,Medium,False
2026-05-08,Abandoned,Won,0.5847,Medium,False
2025-11-28,Abandoned,Abandoned,0.3782,Medium,True
2026-01-05,Abandoned,Abandoned,0.2919,Medium,True
2026-01-30,Abandoned,Abandoned,0.3782,Medium,True
2026-02-27,Abandoned,Abandoned,0.3782,Medium,True
2026-04-10,Abandoned,Abandoned,0.3782,Medium,True
2025-11-28,Abandoned,Abandoned,0.237,Medium,True
2025-11-28,Abandoned,Abandoned,0.1786,High,True
2026-01-05,Abandoned,Abandoned,0.1392,High,True
2026-01-30,Abandoned,Abandoned,0.1639,High,True
2026-02-27,Abandoned,Abandoned,0.1639,High,True
2025-11-28,Won,Abandoned,0.1495,Medium,False
2026-01-05,Won,Abandoned,0.165,Medium,False
2026-01-30,Won,Abandoned,0.1549,Medium,False
2026-02-27,Won,Abandoned,0.1643,Low,False
2025-11-28,Abandoned,Lost,0.2187,Low,False
2026-01-05,Abandoned,Lost,0.1826,Low,False
2026-01-30,Abandoned,Lost,0.2187,Low,False
2026-02-27,Abandoned,Lost,0.2187,Low,False
2025-11-28,Abandoned,Lost,0.4104,Medium,False
2026-01-05,Abandoned,Won,0.5247,Medium,False
2025-11-28,Abandoned,Won,0.6273,Medium,False
2026-01-05,Abandoned,Won,0.5656,Medium,False
2026-01-30,Abandoned,Won,0.6273,Medium,False
2026-02-27,Abandoned,Won,0.6273,Medium,False
2026-04-10,Abandoned,Won,0.4536,Medium,False
2026-05-08,Abandoned,Won,0.7688,High,False
2025-11-28,Abandoned,Abandoned,0.296,Medium,True
2025-11-28,Abandoned,Abandoned,0.22,High,True
2025-11-28,Abandoned,Won,0.5135,Medium,False
2026-01-05,Abandoned,Abandoned,0.4305,Low,True
2026-01-30,Abandoned,Won,0.5135,Medium,False
2026-02-27,Abandoned,Won,0.4809,Medium,False
2026-04-10,Abandoned,Abandoned,0.2954,Medium,True
2025-11-28,Abandoned,Abandoned,0.1327,High,True
2025-11-28,Abandoned,Abandoned,0.2937,Medium,True
2026-01-05,Abandoned,Abandoned,0.274,Medium,True
2026-01-30,Abandoned,Won,0.6573,Medium,False
2026-02-27,Abandoned,Won,0.4828,Medium,False
2025-11-28,Won,Won,0.5462,Medium,True
2026-01-05,Won,Won,0.5279,Medium,True
2026-01-30,Won,Lost,0.4081,Medium,False
2026-02-27,Won,Lost,0.3868,Medium,False
2026-04-10,Won,Lost,0.2896,Low,False
2025-11-28,Won,Won,0.486,Medium,True
2026-01-05,Won,Lost,0.277,Medium,False
2026-01-30,Won,Lost,0.317,Low,False
2026-02-27,Won,Lost,0.3061,Low,False
2025-11-28,Abandoned,Won,0.5248,Medium,False
2026-01-05,Abandoned,Abandoned,0.1915,Medium,True
2026-01-30,Abandoned,Abandoned,0.4164,Low,True
2026-02-27,Abandoned,Abandoned,0.4115,Medium,True
2026-04-10,Abandoned,Abandoned,0.2561,Medium,True
2026-05-08,Abandoned,Abandoned,0.1557,Medium,True
2025-11-28,Won,Won,0.6411,Medium,True
2026-01-05,Won,Won,0.5635,Medium,True
2025-11-28,Abandoned,Lost,0.3516,Medium,False
2026-01-05,Abandoned,Lost,0.3209,Medium,False
2025-11-28,Abandoned,Abandoned,0.3158,Medium,True
2026-01-05,Abandoned,Abandoned,0.2407,Medium,True
2025-11-28,Abandoned,Abandoned,0.198,High,True
2025-11-28,Abandoned,Abandoned,0.4144,Medium,True
2026-01-05,Abandoned,Abandoned,0.3044,Medium,True
