Opportunity,Snapshot Date,From Stage,To Stage,Days In Stage,Stage Velocity,Slipped
22492,2022-06-04,1. Identify Opp,1. Identify Opp,0,0.0,1
22492,2022-07-09,1. Identify Opp,1. Identify Opp,35,0.0,0
22492,2022-08-06,1. Identify Opp,1. Identify Opp,63,0.0,0
22492,2022-09-03,1. Identify Opp,1. Identify Opp,91,0.0,0
22492,2022-10-08,1. Identify Opp,1. Identify Opp,126,0.0,0
22492,2022-11-05,1. Identify Opp,1. Identify Opp,154,0.0,0
22492,2022-12-03,1. Identify Opp,1. Identify Opp,182,0.0,0
22492,2023-01-07,1. Identify Opp,1. Identify Opp,217,0.0,0
22492,2023-02-04,1. Identify Opp,7. Abandoned,245,0.0,0
28059,2022-06-04,1. Identify Opp,1. Identify Opp,0,0.0,0
28059,2022-07-09,1. Identify Opp,1. Identify Opp,35,0.0,0
28059,2022-08-06,1. Identify Opp,1. Identify Opp,63,0.0,0
28059,2022-09-03,1. Identify Opp,1. Identify Opp,91,0.0,0
28059,2022-10-08,1. Identify Opp,1. Identify Opp,126,0.0,0
28059,2022-11-05,1. Identify Opp,1. Identify Opp,154,0.0,0
28059,2022-12-03,1. Identify Opp,1. Identify Opp,182,0.0,0
28059,2023-01-07,1. Identify Opp,1. Identify Opp,217,0.0,0
28059,2023-02-04,1. Identify Opp,1. Identify Opp,245,0.0,0
28059,2023-03-04,1. Identify Opp,1. Identify Opp,273,0.0,0
28059,2023-04-08,1. Identify Opp,1. Identify Opp,308,0.0,0
28059,2023-05-06,1. Identify Opp,1. Identify Opp,336,0.0,0
28059,2023-06-03,1. Identify Opp,1. Identify Opp,364,0.0,0
28059,2023-07-08,1. Identify Opp,1. Identify Opp,399,0.0,0
28059,2023-08-05,1. Identify Opp,1. Identify Opp,427,0.0,0
28059,2023-09-02,1. Identify Opp,1. Identify Opp,455,0.0,0
28059,2023-10-07,1. Identify Opp,1. Identify Opp,490,0.0,0
28059,2023-11-04,1. Identify Opp,1. Identify Opp,518,0.0,0
28059,2023-12-02,1. Identify Opp,1. Identify Opp,546,0.0,0
28059,2024-01-06,1. Identify Opp,1. Identify Opp,581,0.0,0
28059,2024-02-03,1. Identify Opp,1. Identify Opp,609,0.0,0
28059,2024-03-02,1. Identify Opp,1. Identify Opp,637,0.0,0
28059,2024-04-05,1. Identify Opp,1. Identify Opp,671,0.0,0
28059,2024-05-03,1. Identify Opp,1. Identify Opp,699,0.0,0
28059,2024-05-31,1. Identify Opp,1. Identify Opp,727,0.0,0
28059,2024-07-05,1. Identify Opp,1. Identify Opp,762,0.0,0
28059,2024-08-02,1. Identify Opp,1. Identify Opp,790,0.0,0
28059,2024-08-30,1. Identify Opp,1. Identify Opp,818,0.0,0
28059,2024-10-04,1. Identify Opp,1. Identify Opp,853,0.0,0
28059,2024-11-01,1. Identify Opp,1. Identify Opp,881,0.0,0
28059,2024-11-29,1. Identify Opp,1. Identify Opp,909,0.0,0
28059,2025-01-03,1. Identify Opp,1. Identify Opp,944,0.0,0
28059,2025-01-31,1. Identify Opp,1. Identify Opp,972,0.0,0
28059,2025-02-28,1. Identify Opp,1. Identify Opp,1000,0.0,0
28059,2025-04-07,1. Identify Opp,1. Identify Opp,1038,2.0,0
28059,2025-05-02,1. Identify Opp,1. Identify Opp,1063,0.0,0
28059,2025-05-30,1. Identify Opp,1. Identify Opp,1091,0.0,0
28059,2025-07-04,1. Identify Opp,1. Identify Opp,1126,0.0,0
28059,2025-08-01,1. Identify Opp,1. Identify Opp,1154,0.0,0
28059,2025-08-29,1. Identify Opp,1. Identify Opp,1182,0.0,0
28059,2025-10-03,1. Identify Opp,1. Identify Opp,1217,0.0,0
28059,2025-10-31,1. Identify Opp,1. Identify Opp,1245,0.0,0
28059,2025-11-28,1. Identify Opp,1. Identify Opp,1273,0.0,0
28059,2026-01-05,1. Identify Opp,1. Identify Opp,1311,2.0,0
28059,2026-01-30,1. Identify Opp,1. Identify Opp,1336,0.0,0
28059,2026-02-27,1. Identify Opp,1. Identify Opp,1364,0.0,0
28059,2026-04-10,1. Identify Opp,1. Identify Opp,1406,0.0,0
44691,2022-06-04,1. Identify Opp,1. Identify Opp,0,0.0,0
44691,2022-07-09,1. Identify Opp,1. Identify Opp,35,0.0,0
44691,2022-08-06,1. Identify Opp,1. Identify Opp,63,0.0,0
44691,2022-09-03,1. Identify Opp,1. Identify Opp,91,0.0,0
44691,2022-10-08,1. Identify Opp,1. Identify Opp,126,0.0,0
